114, 6588
114, 10441
16389, 115
12115, 115
14644, 115
115, 5502
17970, 116
116, 14712
116, 9290
116, 7998
116, 15595
116, 7900
11186, 117
117, 9826
11504, 118
15186, 118
12005, 118
118, 10148
8465, 119
119, 17945
11874, 120
6532, 120
13487, 120
16262, 120
14315, 120
5489, 120
17882, 120
13028, 120
16562, 120
11613, 120
16576, 120
11630, 120
9806, 120
9758, 120
15228, 120
17575, 120
16666, 120
10960, 120
6533, 120
9255, 120
11372, 120
12526, 120
12225, 120
7285, 120
17212, 120
14158, 120
5422, 120
11336, 120
8964, 120
7454, 120
10610, 120
13496, 120
14730, 120
6013, 120
10104, 120
9423, 120
11238, 120
15430, 120
14994, 120
12260, 120
13260, 120
15075, 120
5688, 120
16405, 120
12894, 120
8855, 120
16412, 120
6686, 120
9756, 120
17976, 120
17625, 120
13004, 120
17220, 120
15792, 120
17147, 120
13823, 120
13845, 120
13178, 120
10273, 120
15379, 120
6176, 120
14878, 120
12163, 120
9021, 120
15122, 120
15599, 120
9207, 120
9991, 120
10275, 120
10285, 120
14214, 120
14716, 120
5426, 120
14054, 120
11355, 120
17272, 120
16566, 120
6821, 120
16846, 120
15022, 120
18045, 120
11649, 120
18343, 120
9118, 120
7485, 120
11979, 120
6299, 120
16374, 120
13357, 120
13890, 120
11599, 120
14914, 120
9999, 120
11104, 120
8083, 120
17868, 120
14000, 120
10876, 120
16475, 120
14649, 120
11926, 120
16244, 120
15577, 120
12101, 120
14222, 120
14289, 120
11335, 120
17847, 120
12075, 120
12787, 120
11438, 120
5474, 120
18377, 120
12082, 120
9975, 120
7905, 120
17404, 120
15954, 120
9916, 120
12947, 120
13397, 120
16708, 120
17429, 120
15282, 120
11790, 120
6869, 120
16739, 120
16248, 120
16126, 120
8104, 120
11864, 120
10067, 120
11087, 120
14691, 120
15426, 120
10167, 120
7102, 120
12616, 120
10587, 120
11493, 120
16440, 120
16819, 120
12011, 120
13267, 120
5600, 120
12824, 120
10218, 120
16096, 120
16883, 120
9079, 120
15816, 120
6740, 120
10825, 120
11061, 120
7061, 120
9662, 120
16435, 120
10171, 120
5177, 120
12182, 120
17637, 120
6795, 120
15345, 120
10953, 120
10769, 120
13160, 120
5734, 120
8663, 120
11798, 120
7823, 120
7418, 120
12597, 120
12920, 120
8276, 120
17561, 120
14811, 120
15882, 120
7165, 120
8173, 120
14956, 120
14049, 120
12573, 120
16179, 120
8909, 120
10858, 120
12186, 120
15263, 120
14462, 120
12509, 120
10592, 120
14332, 120
14532, 120
15006, 120
15560, 120
14607, 120
15875, 120
8736, 120
11134, 120
9602, 120
10154, 120
6185, 120
7540, 120
14359, 120
13092, 120
12097, 120
15769, 120
10135, 120
10644, 120
7041, 120
14616, 120
18160, 120
16468, 120
6304, 120
5584, 120
9844, 120
10441, 120
6150, 120
18227, 120
18184, 120
11568, 120
12164, 120
7618, 120
11034, 120
15623, 120
15062, 120
8474, 120
17319, 120
12551, 120
8814, 120
8684, 120
6454, 120
9196, 120
15650, 120
10023, 120
12406, 120
12722, 120
8559, 120
7597, 120
17297, 120
12393, 120
5591, 120
6657, 120
9922, 120
13606, 120
17867, 120
14089, 120
8300, 120
6457, 120
12804, 120
8215, 120
8672, 120
17017, 120
6395, 120
12939, 120
17410, 120
10164, 120
17772, 120
6021, 120
9681, 120
9516, 120
14377, 120
9761, 120
7696, 120
5615, 120
15247, 120
16303, 120
8284, 120
18298, 120
16253, 120
14916, 120
16989, 120
8805, 120
17830, 120
12292, 120
14684, 120
14264, 120
9743, 120
14918, 120
17925, 120
7811, 120
6915, 120
5405, 120
12338, 120
11826, 120
9825, 120
15956, 120
17855, 120
8151, 120
6040, 120
13166, 120
7405, 120
10613, 120
10443, 120
10182, 120
5375, 120
16164, 120
11904, 120
11421, 120
14463, 120
15631, 120
13423, 120
9815, 120
17808, 120
10681, 120
9122, 120
17744, 120
16517, 120
15524, 120
6385, 120
8998, 120
8678, 120
12085, 120
8738, 120
5862, 120
9550, 120
11571, 120
13200, 120
15675, 120
13317, 120
16310, 120
6971, 120
18323, 120
16351, 120
9392, 120
13272, 120
15621, 120
11906, 120
5321, 120
5257, 120
6357, 120
6458, 120
6874, 120
18099, 120
10868, 120
12949, 120
15258, 120
14293, 120
5532, 120
13846, 120
6699, 120
13051, 120
12758, 120
17454, 120
16798, 120
9698, 120
14452, 120
10155, 120
18250, 120
9924, 120
14407, 120
10860, 120
8264, 120
16513, 120
6744, 120
120, 5490
13534, 121
121, 5651
16935, 122
122, 11170
6926, 123
12408, 123
123, 14167
15798, 124
124, 10156
8165, 125
17372, 125
8517, 125
17004, 125
6610, 125
12057, 125
125, 5291
9649, 126
126, 14712
17192, 127
127, 7482
5445, 128
128, 9516
14499, 129
12280, 129
129, 7601
8959, 130
130, 6365
7543, 131
131, 11070
10192, 132
132, 16706
17847, 133
15598, 133
133, 15212
17956, 134
134, 9861
13094, 135
135, 13883
14838, 136
15392, 136
11487, 136
10866, 136
136, 14289
14290, 137
137, 16104
6783, 138
138, 5890
9708, 139
139, 18162
18133, 140
140, 12192
17776, 141
141, 15226
14399, 142
142, 8598
7634, 143
7048, 143
11666, 143
13167, 143
17077, 143
11368, 143
143, 9422
10284, 144
144, 5792
13987, 145
145, 10601
13897, 146
14870, 146
146, 10421
11174, 147
147, 17630
8075, 148
148, 7138
14274, 149
149, 12039
17049, 150
150, 17220
150, 7444
5415, 151
151, 12469
15398, 152
6491, 152
6413, 152
152, 16893
11635, 153
153, 10209
11814, 154
154, 8879
13735, 155
155, 14712
10056, 156
156, 12855
11593, 157
157, 5277
8679, 158
158, 7033
14318, 159
159, 14907
159, 17582
10303, 160
160, 7568
11519, 161
161, 14991
16426, 162
162, 14289
13979, 163
17023, 163
9907, 163
14258, 163
16825, 163
9133, 163
163, 12589
163, 17188
163, 5149
163, 17011
163, 5768
163, 14525
163, 6133
163, 7748
14712, 164
164, 8060
164, 13592
164, 12444
9690, 165
165, 15781
14596, 166
166, 9815
10455, 167
167, 5151
11418, 168
168, 12793
5565, 169
169, 8540
